img_name,score,score_cls,cos_sim
000386.png,1.000000,1,0.77487713
000387.png,2.000000,2,0.68602902
000388.png,2.000000,2,0.66436422
000389.png,2.000000,2,0.72179663
000390.png,2.000000,2,0.73165274
000391.png,2.000000,2,0.63642204
000392.png,1.000000,1,0.71870029
000393.png,2.000000,2,0.60252678
000394.png,5.000000,5,0.78404891
000395.png,5.000000,5,0.77710456
000396.png,5.000000,5,0.89921415
000397.png,5.000000,5,0.80884385
000398.png,4.000000,4,0.87749493
000399.png,4.000000,4,0.85134840
000400.png,5.000000,5,0.92951977
000401.png,5.000000,5,0.85534060
000402.png,5.000000,5,0.75534302
000403.png,5.000000,5,0.81037921
000404.png,5.000000,5,0.93011796
000405.png,5.000000,5,0.94545698
000406.png,5.000000,5,0.91386449
000407.png,5.000000,5,0.90868813
000408.png,4.000000,4,0.88553149
000409.png,5.000000,5,0.89181513
000410.png,5.000000,5,0.91131258
000411.png,5.000000,5,0.94062686
000412.png,5.000000,5,0.83264589
000413.png,5.000000,5,0.91937995
000414.png,5.000000,5,0.96098030
000415.png,5.000000,5,0.80877733
000416.png,5.000000,5,0.86085171
000417.png,5.000000,5,0.89072174
000418.png,5.000000,5,0.87440771
000419.png,5.000000,5,0.89178205
000420.png,5.000000,5,0.86848015
000421.png,5.000000,5,0.86065131
000422.png,5.000000,5,0.81206906
000423.png,5.000000,5,0.76058340
000424.png,5.000000,5,0.77671725
000425.png,5.000000,5,0.71841246
000426.png,5.000000,5,0.74423295
000427.png,5.000000,5,0.76233232
000428.png,3.000000,3,0.64138347
000429.png,4.000000,4,0.64363146
000430.png,3.000000,3,0.66509205
000431.png,3.000000,3,0.78663111
000432.png,3.000000,3,0.75870669
000433.png,2.000000,2,0.69069135
000434.png,3.000000,3,0.76502693
000435.png,4.000000,4,0.79829407
000436.png,3.000000,3,0.76836073
000437.png,3.000000,3,0.80424780
000438.png,4.000000,4,0.71153283
000439.png,4.000000,4,0.80983603
000440.png,3.000000,3,0.75153911
000441.png,4.000000,4,0.65367675
000442.png,4.000000,4,0.54893064
000443.png,0.000000,0,0.70915246
000444.png,1.000000,1,0.55852872
000445.png,1.000000,1,0.50007665
000446.png,1.000000,1,0.46993083
000447.png,1.000000,1,0.66127336
000448.png,1.000000,1,0.62062883
000449.png,1.000000,1,0.45204395
000450.png,1.000000,1,0.53896856
000451.png,1.000000,1,0.48721480
000452.png,1.000000,1,0.66925240
000453.png,0.000000,0,0.69917989
000454.png,1.000000,1,0.58407199
000455.png,1.000000,1,0.56041270
000456.png,1.000000,1,0.61650771
000457.png,1.000000,1,0.50720769
000458.png,0.000000,0,0.56146049
000459.png,0.000000,0,0.59600091
000460.png,0.000000,0,0.58363330
000461.png,0.000000,0,0.41694066
000462.png,5.000000,5,0.93583953
000463.png,5.000000,5,0.85854042
000464.png,5.000000,5,0.89276576
000465.png,5.000000,5,0.93279624
000466.png,5.000000,5,0.91441917
000467.png,5.000000,5,0.94195968
000468.png,5.000000,5,0.94877112
000469.png,5.000000,5,0.88101065
000470.png,5.000000,5,0.88913095
000471.png,5.000000,5,0.92846406
000472.png,5.000000,5,0.90603191
000473.png,5.000000,5,0.88752580
000474.png,5.000000,5,0.93833172
000475.png,5.000000,5,0.82495916
000476.png,5.000000,5,0.90261710
000477.png,5.000000,5,0.92844927
000478.png,5.000000,5,0.96384597
000479.png,5.000000,5,0.88110268
000480.png,5.000000,5,0.91215837
000481.png,5.000000,5,0.93632931
000482.png,5.000000,5,0.85833621
000483.png,5.000000,5,0.91060978
000484.png,5.000000,5,0.92031622
000485.png,5.000000,5,0.85250509
000486.png,5.000000,5,0.70881033
000487.png,5.000000,5,0.77459371
000488.png,5.000000,5,0.85892975
000489.png,5.000000,5,0.84421718
000490.png,5.000000,5,0.92985880
000491.png,5.000000,5,0.80813098
000492.png,5.000000,5,0.79047912
000493.png,5.000000,5,0.92451274
000494.png,5.000000,5,0.88131589
000495.png,5.000000,5,0.87951100
000496.png,5.000000,5,0.89481002
000497.png,5.000000,5,0.91675913
000498.png,5.000000,5,0.85694945
000499.png,5.000000,5,0.81491941
000500.png,5.000000,5,0.83939457
000501.png,5.000000,5,0.91630995
000502.png,5.000000,5,0.88358653
000503.png,5.000000,5,0.84088767
000504.png,5.000000,5,0.88148010
000505.png,5.000000,5,0.89599359
000506.png,5.000000,5,0.90304232
000507.png,4.000000,4,0.84316301
000508.png,2.000000,2,0.60177672
000509.png,1.000000,1,0.63964361
000510.png,1.000000,1,0.59879696
